Overall Accuracy,Balanced Accuracy,F1,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Kappa,ids,model
0.8113207547169812,0.7730676941015404,NA,0.5999225970342392,0.9462127911688414,0.6119454481997786,0.9499511375611521,0.5471124520183286,9908,split
0.7356076759061834,0.5564394172076154,NA,0.2770377131815772,0.8358411212336535,0.42122315133628463,0.9010870888618757,0.1565877473241357,9909,split
0.8514851485148515,0.7573790348501314,0.558956080849606,0.5536267995570321,0.9611312701432307,0.8582855794721517,0.9654583492583557,0.5269249836277,9910,split
0.7020785219399538,0.7728167186885938,0.6015292863597403,0.6328993230228561,0.9127341143543315,0.6040886832465779,0.9180323381619443,0.522164203838217,9911,split
0.937625754527163,0.851940413830901,0.7691920754473787,0.7532491582491583,0.9506316694126438,0.9005335469484076,0.9872770740150577,0.7374774151441639,10201,split
0.8634361233480177,0.8065420991276183,0.7052189420769628,0.6639555834602274,0.9491286147950092,0.9115237703472998,0.9708991720288248,0.667422361740804,10203,split
0.5875912408759124,0.7578071889215529,0.6155511843291533,0.6360483515552166,0.8795660262878893,0.6479226655697243,0.8876313525506059,0.5051390105027566,10204,split
0.9230769230769231,0.8462325757581924,NA,0.7182108972621307,0.9742542542542543,0.7692075816396438,0.982554950594878,0.7137724292957889,10301,split
0.979746835443038,0.9808853084270365,0.9559259408722686,0.9681286784895798,0.9936419383644931,0.949930735930736,0.9946708743517416,0.9500824169594728,10401,split
0.925,0.9452852664576802,0.9159255747436896,0.9105705329153605,0.98,0.9394335511982571,0.9820275742759401,0.8967208832946922,10501,split
0.8487261146496815,0.9143857258756226,0.8461671632715111,0.8806969696969698,0.9480744820542755,0.8256925774400935,0.9251123213874335,0.7814563865098663,10601,split
0.7865853658536586,0.7268077990146264,NA,0.5150648048693162,0.9385507931599368,NA,0.9510895348692341,0.45751489144614393,10701,split
0.8992248062015504,0.9159826922666436,0.8477244858634341,0.8554185082399699,0.9765468762933174,0.8516388874283611,0.9764883225732847,0.8243262537998165,10702,split
0.9092558983666061,0.8862071362185706,0.7878151706815891,0.7952258852258852,0.977188387211256,0.8400969254288257,0.9789861211418448,0.7669621973592544,10703,split
0.8752642706131079,0.9030152742877274,0.8063187582918162,0.836033499451271,0.9699970491241838,0.7898596339944428,0.9675605242918754,0.7750947267886044,10704,split
0.5961538461538461,0.7485919407510316,0.5749143047653872,0.6066694716694716,0.8905144098325917,0.6687248425183628,0.8820467292251802,0.47005208240588814,10802,split
0.8925831202046036,0.8146245602687653,0.6389235591563973,0.6560581113801452,0.9731910091573853,0.7757550212328369,0.9768003228219732,0.6179948593488462,10901,split
0.9915540540540541,0.941248959261747,0.9116508078480766,0.8848133848133848,0.9976845337101091,0.9845493102007462,0.9981026821466326,0.909648475862017,11001,split
0.9834437086092715,0.9113041142979912,0.8785944947260702,0.8319540229885057,0.9906542056074766,0.995,0.996549869456764,0.8723374700714974,11002,split
0.8463114754098361,0.9046776003426693,0.7805158231425512,0.8682379612257661,0.9411172394595725,0.7403918495297805,0.9086492579714954,0.7025038331701434,11004,split
0.7725490196078432,0.8104226687433603,0.7229739352852387,0.6856186729609232,0.9352266645257975,0.8017064367434396,0.9409976115199432,0.6612935741397402,11102,split
0.8153846153846154,0.8293899077386593,0.7235668817592467,0.7098363538563389,0.9489434616209796,0.8070788998932292,0.9546991688328359,0.6769090306119977,11103,split
0.5018867924528302,0.735565331184519,0.557052599215697,0.6031298003072196,0.8680008620618181,0.6037397397397397,0.8702189052206685,0.4353721011025973,11104,split
0.72171945701357465,0.78982547317409,0.6461347110153111,0.653910561227671,0.9257403851205089,0.6592312893327092,0.9226111706872863,0.5708332666369011,11202,split
0.6684782608695652,0.7649775477909266,0.5954181343770385,0.6183801480016906,0.9115749475801627,0.6195239860213915,0.9089080371332257,0.5094081831952051,11501,split
0.7530864197530864,0.7328386988598256,0.6039682539682539,0.5908730158730159,0.8748043818466353,0.7333333333333333,0.9260224424698109,0.5025860148437764,11601,split
