Overall Accuracy,Balanced Accuracy,F1,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Kappa,ids,model
0.8820754716981132,0.8789482391393763,0.7846506908448769,0.7922941441548474,0.9656023341239051,0.8175948930296756,0.9679562397387651,0.753062187514735,9908,split
0.7697228144989339,0.6941858471552925,NA,0.49943620001191963,0.8889354942986655,0.5623855142646594,0.9080391268114926,0.40753077097953117,9909,split
0.8871287128712871,0.8075454390691991,NA,0.6424418604651163,0.9726490176732818,0.6857142857142857,0.973650527212054,0.621342743464809,9910,split
0.7228637413394919,0.7433709962141491,0.5914041327507064,0.5744303950359423,0.912311597392356,0.7225253072051102,0.9305967641012145,0.515504894400212,9911,split
0.9818913480885312,0.9565716480086329,0.937638227704875,0.9238552188552188,0.9892880771620469,0.9537058823529412,0.9962077904155905,0.9302942372231563,10201,split
0.9185022026431718,0.8888057829444854,0.8195957637134108,0.8033495228541668,0.974262043034804,0.9124730612965907,0.9823095093826837,0.7996231949015266,10203,split
0.708029197080292,0.8312956374980948,0.7295982427182933,0.7460405119077888,0.9165507630884008,0.779727047146402,0.928799296435929,0.6518150932586511,10204,split
0.9784615384615385,0.9601558240267918,0.955205627593823,0.927741935483871,0.9925697125697126,0.9901308560583358,0.995393688741652,0.9491434464517394,10301,split
0.9620253164556962,0.9486848112922629,0.9090760644894584,0.9094893855165321,0.9878802370679935,0.9120161145569494,0.9906601303980345,0.8983138382050504,10401,split
0.975,0.9794932079414838,0.9736207527535625,0.9659770114942529,0.9930094043887148,0.9833124739257405,0.9941525250460028,0.9671491234365653,10501,split
0.9952229299363057,0.9843446397313614,0.9582295947445781,0.9696666666666667,0.9990226127960562,0.9481481481481482,0.9989561775022195,0.9572199064516067,10601,split
0.8963414634146342,0.8577445744945235,0.7294530078422695,0.7407096312209094,0.9747795177681374,0.7880707903401727,0.9770267919669295,0.7074998326201798,10701,split
0.9127906976744186,0.9018482719969881,0.8266847806785795,0.8241340322746428,0.9795625117193334,0.8843476611248301,0.9806905804901249,0.8073688272872807,10702,split
0.8511796733212341,0.85087930707497506,0.7030350739329548,0.7413838013838013,0.9603748127661488,0.7092275132275132,0.9642889293892692,0.6667721951559002,10703,split
0.9429175475687104,0.9326447068616731,0.8714272250518631,0.8782393452108755,0.9870500685124707,0.8738017909399423,0.9862162892498719,0.858129463185544,10704,split
0.8076923076923077,0.7998516979198798,NA,0.6694229944229945,0.930280401416765,NA,0.9462406191746989,0.5883044804234421,10802,split
0.8976982097186701,0.8269574670067041,0.6578160969658652,0.6886682808716706,0.9652466531417376,0.7184243775548124,0.9781026366200759,0.6306071268914308,10901,split
0.964527027027027,0.9295575342213998,0.879597459819785,0.8686063614635043,0.9905087069792953,0.8974938574938575,0.9901908618015669,0.8698952005119233,11001,split
0.9652317880794702,0.8931885230635499,0.7980748753162547,0.7959386973180077,0.9904383488090922,0.8013784290274942,0.9918653567247903,0.7892415987709879,11002,split
0.9959016393442623,0.9987580882708001,0.9845798319327731,0.9985754985754985,0.9989406779661016,0.9722222222222222,0.9964028776978417,0.9822394071426185,11004,split
0.7764705882352941,0.8437371129833197,0.7425716440422323,0.7475019669551535,0.9399722590114858,0.8160529748386501,0.9438570786420651,0.6844679894406083,11102,split
0.8703296703296703,0.9075209273839953,0.825761861952148,0.8458322989076464,0.969209555860344,0.8257336367781153,0.9667561411955519,0.7936801763711674,11103,split
0.6264150943396226,0.7335369894165144,NA,0.56388043120474,0.9031935476282889,NA,0.8940681716082659,0.4488659565783597,11104,split
0.8484162895927602,0.8675519774344437,0.8005883648028573,0.7808407496182741,0.9542632052506131,0.8696116703680781,0.9649886884978479,0.7611578588141411,11202,split
0.7880434782608695,0.8105670656820434,0.6623952690913248,0.6756800126080821,0.9454541187560047,0.7110063702900515,0.9511324747808555,0.6144436094963217,11501,split
0.8271604938271605,0.833235524256651,NA,0.75,0.9164710485133021,NA,0.9567901234567902,0.6370364010989011,11601,split
0.958904109589041,0.9557402254920302,0.8965105779153767,0.9233299595141701,0.9881504914698904,0.876812865497076,0.987603550295858,0.8843955492836644,11901,split
0.7994791666666666,0.8603851448862395,0.7851445344181421,0.7753087889074705,0.9454615008650086,0.8194446907493779,0.9478322890720157,0.7325501632131943,12001,split
0.7875894988066826,0.7638019237102793,NA,0.5811694046988165,0.9464344427217422,0.5807796806966619,0.9445157464228175,0.5247630631792469,12002,split
0.7929759704251387,0.8145648196700228,0.7026767680931222,0.6909613687510083,0.9381682705890374,0.7596733934794792,0.9472451003735398,0.6450053901325298,12101,split
0.917981072555205,0.882574330403458,0.8111965508893837,0.7924830316383966,0.9726656291685194,0.9586673922244392,0.9754834187576961,0.7862991463080837,12302,split
0.9883449883449883,0.9361935613144536,0.8984308704275564,0.875,0.9973871226289073,0.979350104821803,0.9976525821596244,0.8961862438159753,12303,split
0.8966292134831461,0.9149480754964352,0.849185652945719,0.8586878984912568,0.9712082525016135,0.8492873219775394,0.9737472976651631,0.8217503838888441,12501,split
0.8533916849015317,0.8270603913456503,0.7380492375841213,0.7028890344016394,0.9512317482896612,0.8277753751589934,0.9646114037209296,0.6959457741502673,12502,split
0.9147286821705426,0.9552112418197642,0.9216689201506515,0.9328320802005012,0.9775904034390274,0.913211289092296,0.9756809856809857,0.8982068463994527,13001,split
0.8679245283018868,0.9147922114617546,0.811164789243861,0.8624457777342721,0.9671386451892372,0.8024224488148727,0.9615328381383734,0.7758443607886266,9908,group
0.7100213219616205,0.6313347897608008,NA,0.35473179193289855,0.907937787588703,0.36784750337381916,0.8919139695798689,0.257907822771019,9909,group
