Overall Accuracy,Balanced Accuracy,F1,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Kappa,ids,model
0.9622641509433962,0.9610405720402974,0.9411637157073263,0.9325909779306844,0.9894901661499105,0.9574503553812191,0.9903182235336996,0.9310819982434246,9908,split
0.7718550106609808,0.6358113950846024,NA,0.3882312790737795,0.8833915110954252,0.4669232667160128,0.9205928754290282,0.2962952767713882,9909,split
0.904950495049505,0.822094004325223,0.6802468217132479,0.667109634551495,0.9770783740989509,0.7540032679738562,0.978380741031349,0.6594973739368838,9910,split
0.7967667436489607,0.8194850278944852,0.7326918710132923,0.7057228044707796,0.9332472513181906,0.783602950931087,0.9454853829061659,0.67192119015972,9911,split
0.9899396378269618,0.9760676829027907,0.9546153846153846,0.9542424242424242,0.997892941563157,0.9554157131960336,0.9978955730261029,0.9525099588733752,10201,split
0.9295154185022027,0.8994490241300475,0.8366356141852035,0.8191919191919192,0.9797061290681757,0.9264819953659533,0.9854383216040367,0.8207210668501849,10203,split
0.8248175182481752,0.8473108481176106,0.7682466757341926,0.7449649122807017,0.9496567839545196,0.8199666645126669,0.954652457659022,0.7185661662762535,10204,split
0.9538461538461539,0.8759344598054275,NA,0.7677419354838709,0.9841269841269841,NA,0.9905016722408027,0.7621069247745265,10301,split
0.759493670886076,0.8995063796850056,0.8064842287292563,0.8602035497887427,0.9388092095812685,0.8178726640591047,0.9284754155310293,0.7379728505224424,10401,split
0.9875,0.9913793103448276,0.9884126984126984,0.9862068965517241,0.996551724137931,0.991304347826087,0.9969924812030075,0.9851619530267869,10501,split
0.9968152866242038,0.9981080943012344,0.9853519427272535,0.996900432900433,0.9993157557020358,0.9751111111111112,0.9984407315567779,0.9842288268177581,10601,split
0.9024390243902439,0.8679372090329517,0.7480539942614158,0.7586630862871464,0.977211331778757,0.8003249601275917,0.9771787570771889,0.7266396077358882,10701,split
0.9069767441860465,0.890206099028054,0.7880352253201504,0.80148525028266,0.978926947773448,0.8415604395604396,0.9797388582493439,0.7687012714955694,10702,split
0.8729582577132486,0.836333478413838,0.6913412921010214,0.7076373626373627,0.9650295941903133,0.6876802842849931,0.9707025641803537,0.6601794711532333,10703,split
0.9281183932346723,0.9217810172398108,0.8537898768611983,0.8605213489214507,0.9830406855581709,0.8588059065821869,0.9819163216180155,0.8363903675386137,10704,split
0.8076923076923077,0.795847217551763,0.6518696339385994,0.6617184767184767,0.9299759583850493,0.6946460941498861,0.9461936346713232,0.595546120661584,10802,split
0.9641943734015346,0.9426110754109526,0.8485714336301873,0.8941404358353511,0.9910817149865542,0.84409049255441,0.9919679333445927,0.8405161648719299,10901,split
0.9138513513513513,0.9098870713156427,0.7931147136238402,0.8399062327633756,0.9798679098679098,0.7925767650745021,0.9754835542464408,0.7728416826922084,11001,split
0.9784768211920529,0.9000554647325325,0.8313920343476994,0.8069731800766283,0.9931377493884366,0.8690773092883857,0.9953254142452325,0.8257495466585777,11002,split
0.8401639344262295,0.9483365976918724,0.8688695457262403,0.9444444444444444,0.9522287509393004,0.841099564197117,0.9093023255813953,0.7927903184684107,11004,split
0.8588235294117647,0.8934314032017766,0.8318532345382813,0.8252743246787306,0.9615884817248225,0.8694267252355488,0.9635223229229413,0.7943447515727174,11102,split
0.9494505494505494,0.9430858505264196,0.9031678075811752,0.8983190582588547,0.9878526427939844,0.9197951295932911,0.9879372642464832,0.8911447352524324,11103,split
0.7245283018867924,0.7953270493441085,0.66468039146535,0.6638187129690586,0.9268353857191584,0.814437134502924,0.9210754245754246,0.5896116908566432,11104,split
0.8619909502262444,0.8940192697797374,0.8222099831910468,0.8278196354282218,0.9602189041312532,0.8501960141704512,0.9647873655409749,0.7852504502453973,11202,split
0.8152173913043478,0.8416525996165211,0.6920789382252797,0.7285229202037351,0.954782279029307,0.7336377708978328,0.9584588744588745,0.6536633871430702,11501,split
0.8765432098765432,0.8759920634920635,0.8361111111111111,0.8214285714285714,0.9305555555555556,0.9545454545454546,0.9675324675324675,0.7852685204839736,11601,split
0.9771689497716894,0.971017769860935,0.9491166077738515,0.9509109311740891,0.9911246085477811,0.9528384932234919,0.9932933705264407,0.9413159672142994,11901,split
0.875,0.9089462875946044,0.8713111231597452,0.8526554904180401,0.9652370847711687,0.9156643356643357,0.9679360579792573,0.8381126360937555,12001,split
0.863961813842482,0.847898723941396,NA,0.7266391241181157,0.9691583237646764,0.6778231340383043,0.9649303936771926,0.6467933673992973,12002,split
0.8927911275415896,0.8687010354017602,0.8112458241885843,0.7717238228314148,0.9656782479721057,0.8801443010435905,0.972943595985202,0.7798134450785675,12101,split
0.9589905362776026,0.9216001375042936,0.8860225370326081,0.8544897735115127,0.9887105014970745,0.9363247863247863,0.9890282148295956,0.8748470242156141,12302,split
