names,left_ankle_only,right_ankle_only,left_hip_only,right_hip_only,left_side,right_side,ankles,hips
CORR_raacc_z_rhacc_z,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
CORR_lhacc_z_rhacc_z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
CORR_lagyr_x_ragyr_x,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CORR_lagyr_x_lhgyr_x,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
CORR_lagyr_x_rhgyr_x,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CORR_ragyr_x_lhgyr_x,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CORR_ragyr_x_rhgyr_x,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CORR_lhgyr_x_rhgyr_x,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
CORR_lagyr_y_ragyr_y,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CORR_lagyr_y_lhgyr_y,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
CORR_lagyr_y_rhgyr_y,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CORR_ragyr_y_lhgyr_y,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CORR_ragyr_y_rhgyr_y,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CORR_lhgyr_y_rhgyr_y,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
CORR_lagyr_z_ragyr_z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CORR_lagyr_z_lhgyr_z,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
CORR_lagyr_z_rhgyr_z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CORR_ragyr_z_lhgyr_z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CORR_ragyr_z_rhgyr_z,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CORR_lhgyr_z_rhgyr_z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ABSCORR_laacc_x_raacc_x,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ABSCORR_laacc_x_lhacc_x,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ABSCORR_laacc_x_rhacc_x,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSCORR_raacc_x_lhacc_x,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSCORR_raacc_x_rhacc_x,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ABSCORR_lhacc_x_rhacc_x,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ABSCORR_laacc_y_lhacc_y,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ABSCORR_laacc_y_rhacc_y,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSCORR_lhacc_y_rhacc_y,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ABSCORR_laacc_z_raacc_z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ABSCORR_laacc_z_lhacc_z,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ABSCORR_laacc_z_rhacc_z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSCORR_raacc_z_lhacc_z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSCORR_raacc_z_rhacc_z,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ABSCORR_lhacc_z_rhacc_z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ABSCORR_lagyr_x_ragyr_x,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
