Overall Accuracy,Balanced Accuracy,F1,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Kappa,ids,model
0.9622641509433962,0.9668948755451675,0.9470035922209835,0.9444038833591581,0.9893858677311768,0.9529534234554758,0.9895140508004235,0.9364419663631235,9908,split
0.7697228144989339,0.6213960969690976,NA,0.3731716650826064,0.8696205288555888,0.40221651084969123,0.9260801666752372,0.2616904450092995,9909,split
0.9247524752475248,0.8513100180477318,0.7283356133150934,0.7206810631229236,0.98193897297254,0.7850186482624002,0.9827898209450291,0.712036655709667,9910,split
0.8337182448036952,0.8605419034863188,0.7937936088094364,0.7767758081376402,0.9443079988349974,0.8296322467181709,0.9551973740537962,0.7437595054134394,9911,split
0.993963782696177,0.9847915498743182,0.9767682850873411,0.9725757575757575,0.9970073421728788,0.9811728395061728,0.9987377117400605,0.974634906626207,10201,split
0.933920704845815,0.9087032567395432,0.8473599024380063,0.8365640207745471,0.9808424927045393,0.9431863483692752,0.98587638833052,0.8323974763313422,10203,split
0.6970802919708029,0.8246602802219787,0.736737421711175,0.7374303754555471,0.9118901849884102,0.8127767134951043,0.9270341864320062,0.6564891718345435,10204,split
0.9815384615384616,0.9571479774705581,0.9502198440649274,0.9206451612903226,0.9936507936507937,0.9915492957746479,0.9960930055269678,0.9450667384451362,10301,split
0.9949367088607595,0.995738549002826,0.9864589026634955,0.9926515261102271,0.9988255718954249,0.9811111111111112,0.9982959854303587,0.9850173631458699,10401,split
1,1,1,1,1,1,1,1,10501,split
0.9952229299363057,0.9977059896241527,0.9918190656811722,0.9964675324675325,0.998944446780773,0.9873294346978557,0.9972567287784679,0.9899123334771188,10601,split
0.8902439024390244,0.8258489545747499,0.6833214909085911,0.6791543143573219,0.9725435947921781,0.8466805876650011,0.974562450904758,0.659058404953616,10701,split
0.9263565891472868,0.9079252976322255,0.8225518012274432,0.8320690718470551,0.9837815234173958,0.8814895470383275,0.9840162286633284,0.8077656399342851,10702,split
0.9092558983666061,0.8811541222549129,0.758929301857935,0.7888461538461539,0.9734620906636718,0.8407276618512574,0.9792492591508777,0.7392751716882899,10703,split
0.9682875264270613,0.9754070522389005,0.9440459367190119,0.9579979122966316,0.9928161921811693,0.9339078527746436,0.9911606685430066,0.9360070055056187,10704,split
0.8615384615384616,0.8756827215918125,0.8023886068184674,0.7956781506781506,0.9556872925054744,0.8323968705547653,0.9566699513632961,0.7588239980768888,10802,split
0.9258312020460358,0.918139900837683,0.7931944726681568,0.851864406779661,0.9844153948957052,0.7964755077658303,0.9837037610277047,0.7788577522870879,10901,split
0.9915540540540541,0.9411703470527,0.9168638788839324,0.8848133848133848,0.9975273092920152,0.9946754966887417,0.9981026821466326,0.914780782538082,11001,split
0.9950331125827815,0.9819314641744549,0.9810518982932775,0.9666666666666667,0.997196261682243,0.9984732824427481,0.998981324278438,0.9791338918617086,11002,split
0.9139344262295082,0.9721547518249009,0.9265151515151515,0.9700854700854701,0.9742240335643316,0.9019607843137255,0.9413407821229051,0.8808062217213736,11004,split
0.9137254901960784,0.9234663722330398,0.9004689916234916,0.8726254917387883,0.9743072527272912,0.9457894736842105,0.9788318714382545,0.8769089110505576,11102,split
0.9362637362637363,0.9273726937585816,0.8773768032135812,0.8708033349884144,0.9839420525287486,0.9115486730077803,0.9847943064541893,0.8621017737630812,11103,split
0.7622641509433963,0.82998168856298,0.7307862614863143,0.7233850394996708,0.9365783376262894,0.8387134502923976,0.9318525344036416,0.6648278486492141,11104,split
0.9004524886877828,0.9139269232081286,0.8748371359353958,0.856463579798472,0.9713902666177853,0.9173231986800835,0.9764259098439884,0.8488267444543176,11202,split
0.7989130434782609,0.8167851216473425,0.6648806765523633,0.6834748160724392,0.9500954272222459,0.726717420510524,0.9551141600235636,0.6237152218619276,11501,split
0.8765432098765432,0.8759920634920635,0.8361111111111111,0.8214285714285714,0.9305555555555556,0.9545454545454546,0.9675324675324675,0.7852685204839736,11601,split
0.9680365296803652,0.9596485318836012,0.945858484238766,0.9329453441295547,0.9863517196376478,0.9620105719751946,0.9905558193364592,0.934280575238817,11901,split
0.9166666666666666,0.9449759743311921,0.9259210622598496,0.9134446805949711,0.9765072680674131,0.9424465240641712,0.97825422878553,0.9031388375877136,12001,split
0.8591885441527446,0.8460801037773393,NA,0.7265489979775694,0.9656112095771093,0.6759474968980957,0.9643444495984852,0.6420209283990169,12002,split
0.9279112754158965,0.891781157811194,0.8420328511980055,0.8060878150036261,0.977474500618762,0.9046877795670066,0.9814816134615383,0.8214892385907052,12101,split
0.9684542586750788,0.8979432388473949,0.8473962022669207,0.8042913608130999,0.9915951168816899,0.9245614035087719,0.993376455447995,0.8400273709113757,12302,split
0.9976689976689976,0.9872368421052632,0.9846464646464647,0.975,0.9994736842105263,0.996,0.999526066350711,0.9841468156154789,12303,split
0.9146067415730337,0.9257157228083882,0.8857727652464495,0.8767391578814469,0.9746922877353296,0.8982520262851976,0.9789416412367232,0.8625344682958916,12501,split
