id,.metric,.estimator,.estimate
12501,f_meas,macro,0.9771331492311025
12502,f_meas,macro,0.9819842823127497
13001,f_meas,macro,0.9855981416957027
9908,ppv,macro,0.9833563550892997
9909,ppv,macro,0.675380952155122
9910,ppv,macro,0.8483053502448519
9911,ppv,macro,0.8925025806905202
10201,ppv,macro,0.9866666666666666
10203,ppv,macro,0.9830525643653334
10204,ppv,macro,0.9376643819149366
10301,ppv,macro,0.9679081663087565
10401,ppv,macro,0.9904271194366507
10501,ppv,macro,1
10601,ppv,macro,0.980561374109761
10701,ppv,macro,0.9549961861174676
10702,ppv,macro,0.9955555555555555
10703,ppv,macro,0.9939071038251366
10704,ppv,macro,0.9679801935379282
10802,ppv,macro,0.9402097902097903
10901,ppv,macro,0.914075630252101
11001,ppv,macro,0.9322970639032814
11002,ppv,macro,0.9704335465529497
11004,ppv,macro,NA
11102,ppv,macro,0.9567133143065105
11103,ppv,macro,0.9890322370986611
11104,ppv,macro,0.9095919870378555
11202,ppv,macro,0.8915006957589924
11501,ppv,macro,0.989795918367347
11601,ppv,macro,NA
11901,ppv,macro,NA
12001,ppv,macro,0.9548703687209077
12002,ppv,macro,0.9841721351235092
12101,ppv,macro,0.8924788172899646
12302,ppv,macro,0.9964762971257932
12501,ppv,macro,0.9829415904292752
12502,ppv,macro,0.9766216101825343
13001,ppv,macro,0.9855981416957027
9908,sens,macro,0.9792226264990491
9909,sens,macro,0.7176672525059622
9910,sens,macro,0.8955086848635238
9911,sens,macro,0.9212186875149526
10201,sens,macro,0.9990588235294118
10203,sens,macro,0.9652537399785106
10204,sens,macro,0.9415683704674531
10301,sens,macro,0.9513257575757575
10401,sens,macro,0.994324853228963
10501,sens,macro,1
10601,sens,macro,0.9825189485566845
10701,sens,macro,0.9705882352941175
10702,sens,macro,0.9923076923076923
10703,sens,macro,0.9903488372093022
10704,sens,macro,0.9631443688586546
10802,sens,macro,0.9117333391785947
10901,sens,macro,0.962936564504633
11001,sens,macro,0.9576734079893031
11002,sens,macro,0.9300000000000002
11004,sens,macro,0.9534785067873303
11102,sens,macro,0.9700538683477594
