id,.metric,.estimator,.estimate,.config
Resample12,sens,macro,0.9738255864331251,Preprocessor1_Model1
Resample12,spec,macro,0.9887933516514205,Preprocessor1_Model1
Resample13,accuracy,multiclass,0.9760225669957687,Preprocessor1_Model1
Resample13,kap,multiclass,0.964979363306055,Preprocessor1_Model1
Resample13,bal_accuracy,macro,0.9752710833131619,Preprocessor1_Model1
Resample13,f_meas,macro,0.9603609455215806,Preprocessor1_Model1
Resample13,ppv,macro,0.9637429031544598,Preprocessor1_Model1
Resample13,sens,macro,0.9572274883493114,Preprocessor1_Model1
Resample13,spec,macro,0.9933146782770125,Preprocessor1_Model1
Resample14,accuracy,multiclass,0.9742765273311897,Preprocessor1_Model1
Resample14,kap,multiclass,0.961835901740332,Preprocessor1_Model1
Resample14,bal_accuracy,macro,0.9764939149862302,Preprocessor1_Model1
Resample14,f_meas,macro,0.9564363251376387,Preprocessor1_Model1
Resample14,ppv,macro,0.9555755034511193,Preprocessor1_Model1
Resample14,sens,macro,0.9588982610756223,Preprocessor1_Model1
Resample14,spec,macro,0.994089568896838,Preprocessor1_Model1
Resample15,accuracy,multiclass,0.8169014084507042,Preprocessor1_Model1
Resample15,kap,multiclass,0.7425837302040745,Preprocessor1_Model1
Resample15,bal_accuracy,macro,0.9042956925738359,Preprocessor1_Model1
Resample15,f_meas,macro,0.8125184546911246,Preprocessor1_Model1
Resample15,ppv,macro,0.7978294307214374,Preprocessor1_Model1
Resample15,sens,macro,0.858463264917188,Preprocessor1_Model1
Resample15,spec,macro,0.9501281202304839,Preprocessor1_Model1
Resample16,accuracy,multiclass,0.7132757266300078,Preprocessor1_Model1
Resample16,kap,multiclass,0.6213816357727924,Preprocessor1_Model1
Resample16,bal_accuracy,macro,0.861812934636305,Preprocessor1_Model1
Resample16,f_meas,macro,0.7311562151355575,Preprocessor1_Model1
Resample16,ppv,macro,0.7198735788208483,Preprocessor1_Model1
Resample16,sens,macro,0.7939905795201966,Preprocessor1_Model1
Resample16,spec,macro,0.9296352897524136,Preprocessor1_Model1
Resample17,accuracy,multiclass,0.6702014846235419,Preprocessor1_Model1
Resample17,kap,multiclass,0.4535228011724347,Preprocessor1_Model1
Resample17,bal_accuracy,macro,0.811177657912199,Preprocessor1_Model1
Resample17,f_meas,macro,0.7504409169615259,Preprocessor1_Model1
Resample17,ppv,macro,0.865363595210705,Preprocessor1_Model1
Resample17,sens,macro,0.7423560910307899,Preprocessor1_Model1
Resample17,spec,macro,0.8799992247936083,Preprocessor1_Model1
Resample18,accuracy,multiclass,0.6815561959654178,Preprocessor1_Model1
Resample18,kap,multiclass,0.5619816123893969,Preprocessor1_Model1
Resample18,bal_accuracy,macro,0.8696504700614411,Preprocessor1_Model1
Resample18,f_meas,macro,0.7233210273191393,Preprocessor1_Model1
Resample18,ppv,macro,0.709174516513949,Preprocessor1_Model1
Resample18,sens,macro,0.8244225782906921,Preprocessor1_Model1
Resample18,spec,macro,0.9148783618321904,Preprocessor1_Model1
Resample19,accuracy,multiclass,0.9220472440944882,Preprocessor1_Model1
Resample19,kap,multiclass,0.8902336496329335,Preprocessor1_Model1
Resample19,bal_accuracy,macro,0.9208034107830496,Preprocessor1_Model1
Resample19,f_meas,macro,0.8703394848116242,Preprocessor1_Model1
Resample19,ppv,macro,0.8969576233784697,Preprocessor1_Model1
Resample19,sens,macro,0.8630158103509861,Preprocessor1_Model1
Resample19,spec,macro,0.9785910112151134,Preprocessor1_Model1
Resample20,accuracy,multiclass,0.7923875432525952,Preprocessor1_Model1
Resample20,kap,multiclass,0.7331476344553496,Preprocessor1_Model1
Resample20,bal_accuracy,macro,0.8925100430807327,Preprocessor1_Model1
Resample20,f_meas,macro,0.7866081783325087,Preprocessor1_Model1
Resample20,ppv,macro,0.7810405901087081,Preprocessor1_Model1
Resample20,sens,macro,0.8364367442448103,Preprocessor1_Model1
Resample20,spec,macro,0.9485833419166549,Preprocessor1_Model1
Resample21,accuracy,multiclass,0.9490022172949002,Preprocessor1_Model1
Resample21,kap,multiclass,0.922293869458495,Preprocessor1_Model1
Resample21,bal_accuracy,macro,0.9702138090541482,Preprocessor1_Model1
Resample21,f_meas,macro,0.928016149648821,Preprocessor1_Model1
Resample21,ppv,macro,0.9070669738962287,Preprocessor1_Model1
Resample21,sens,macro,0.9533918194673471,Preprocessor1_Model1
Resample21,spec,macro,0.9870357986409494,Preprocessor1_Model1
Resample22,accuracy,multiclass,0.975609756097561,Preprocessor1_Model1
Resample22,kap,multiclass,0.9678368307511277,Preprocessor1_Model1
Resample22,bal_accuracy,macro,0.9801572413338283,Preprocessor1_Model1
Resample22,f_meas,macro,0.9724599759669225,Preprocessor1_Model1
Resample22,ppv,macro,0.9802777777777778,Preprocessor1_Model1
Resample22,sens,macro,0.9668890449438201,Preprocessor1_Model1
Resample22,spec,macro,0.9934254377238362,Preprocessor1_Model1
Resample23,accuracy,multiclass,0.9067560022333891,Preprocessor1_Model1
Resample23,kap,multiclass,0.8202673842422611,Preprocessor1_Model1
Resample23,bal_accuracy,macro,0.8200743178149459,Preprocessor1_Model1
Resample23,f_meas,macro,0.6555760917448146,Preprocessor1_Model1
Resample23,ppv,macro,0.6624346438202867,Preprocessor1_Model1
Resample23,sens,macro,0.6680893818824853,Preprocessor1_Model1
Resample23,spec,macro,0.9720592537474065,Preprocessor1_Model1
Resample24,accuracy,multiclass,0.981145757795504,Preprocessor1_Model1
Resample24,kap,multiclass,0.9743662704903968,Preprocessor1_Model1
Resample24,bal_accuracy,macro,0.9882482431946701,Preprocessor1_Model1
Resample24,f_meas,macro,0.9820255745273079,Preprocessor1_Model1
Resample24,ppv,macro,0.982427261538301,Preprocessor1_Model1
Resample24,sens,macro,0.9817255624442327,Preprocessor1_Model1
Resample24,spec,macro,0.9947709239451075,Preprocessor1_Model1
Resample25,accuracy,multiclass,0.8241573033707865,Preprocessor1_Model1
Resample25,kap,multiclass,0.7544436946893391,Preprocessor1_Model1
Resample25,bal_accuracy,macro,0.8883130679866145,Preprocessor1_Model1
Resample25,f_meas,macro,0.7110232295087626,Preprocessor1_Model1
Resample25,ppv,macro,0.6877987435152384,Preprocessor1_Model1
Resample25,sens,macro,0.8196966151844719,Preprocessor1_Model1
Resample25,spec,macro,0.9569295207887568,Preprocessor1_Model1
Resample26,accuracy,multiclass,0.8007863695937091,Preprocessor1_Model1
Resample26,kap,multiclass,0.7190476651905542,Preprocessor1_Model1
Resample26,bal_accuracy,macro,0.9194276523542201,Preprocessor1_Model1
Resample26,f_meas,macro,0.797910064118605,Preprocessor1_Model1
Resample26,ppv,macro,0.7793883468640752,Preprocessor1_Model1
Resample26,sens,macro,0.885947127807593,Preprocessor1_Model1
Resample26,spec,macro,0.9529081769008473,Preprocessor1_Model1
Resample27,accuracy,multiclass,0.9469964664310954,Preprocessor1_Model1
Resample27,kap,multiclass,0.9261000130565348,Preprocessor1_Model1
Resample27,bal_accuracy,macro,0.9630231065829127,Preprocessor1_Model1
Resample27,f_meas,macro,0.9232695965205753,Preprocessor1_Model1
Resample27,ppv,macro,0.9213409158934452,Preprocessor1_Model1
Resample27,sens,macro,0.9422589725545392,Preprocessor1_Model1
Resample27,spec,macro,0.9837872406112864,Preprocessor1_Model1
Resample28,accuracy,multiclass,0.9451697127937336,Preprocessor1_Model1
Resample28,kap,multiclass,0.9258160990041021,Preprocessor1_Model1
Resample28,bal_accuracy,macro,0.9729394663531286,Preprocessor1_Model1
Resample28,f_meas,macro,0.9537414763660322,Preprocessor1_Model1
Resample28,ppv,macro,0.950149203547262,Preprocessor1_Model1
Resample28,sens,macro,0.9613130927302049,Preprocessor1_Model1
Resample28,spec,macro,0.9845658399760523,Preprocessor1_Model1
Resample29,accuracy,multiclass,0.9623115577889447,Preprocessor1_Model1
Resample29,kap,multiclass,0.9485841256717652,Preprocessor1_Model1
Resample29,bal_accuracy,macro,0.9828638145595813,Preprocessor1_Model1
Resample29,f_meas,macro,0.9650963657155608,Preprocessor1_Model1
Resample29,ppv,macro,0.9573142100994579,Preprocessor1_Model1
Resample29,sens,macro,0.9750250250250252,Preprocessor1_Model1
Resample29,spec,macro,0.9907026040941374,Preprocessor1_Model1
